Company Code,Company Name,Sector
4151,"KYOWA KIRIN CO., LTD.",Pharmaceuticals
4502,"TAKEDA PHARMACEUTICAL CO., LTD.",Pharmaceuticals
4503,ASTELLAS PHARMA INC.,Pharmaceuticals
4506,"SUMITOMO PHARMA CO., LTD.",Pharmaceuticals
4507,"SHIONOGI & CO., LTD.",Pharmaceuticals
4519,"CHUGAI PHARMACEUTICAL CO., LTD.",Pharmaceuticals
4523,"EISAI CO., LTD.",Pharmaceuticals
4568,"DAIICHI SANKYO CO., LTD.",Pharmaceuticals
4578,"OTSUKA HOLDINGS CO., LTD.",Pharmaceuticals
6479,MINEBEA MITSUMI INC.,Electric Machinery
6501,"HITACHI, LTD.",Electric Machinery
6503,MITSUBISHI ELECTRIC CORP.,Electric Machinery
6504,"FUJI ELECTRIC CO., LTD.",Electric Machinery
6506,YASKAWA ELECTRIC CORP.,Electric Machinery
6526,SOCIONEXT INC.,Electric Machinery
6594,NIDEC CORP.,Electric Machinery
6645,OMRON CORP.,Electric Machinery
6674,GS YUASA CORP.,Electric Machinery
6701,NEC CORP.,Electric Machinery
6702,FUJITSU LTD.,Electric Machinery
6723,RENESAS ELECTRONICS CORP.,Electric Machinery
6724,SEIKO EPSON CORP.,Electric Machinery
6752,PANASONIC HOLDINGS CORP.,Electric Machinery
6753,SHARP CORP.,Electric Machinery
6758,SONY GROUP CORP.,Electric Machinery
6762,TDK CORP.,Electric Machinery
6770,"ALPS ALPINE CO., LTD.",Electric Machinery
6841,YOKOGAWA ELECTRIC CORP.,Electric Machinery
6857,ADVANTEST CORP.,Electric Machinery
6861,KEYENCE CORP.,Electric Machinery
6902,DENSO CORP.,Electric Machinery
6920,LASERTEC CORP.,Electric Machinery
6952,"CASIO COMPUTER CO., LTD.",Electric Machinery
6954,FANUC CORP.,Electric Machinery
6971,KYOCERA CORP.,Electric Machinery
6976,"TAIYO YUDEN CO., LTD.",Electric Machinery
6981,"MURATA MANUFACTURING CO., LTD.",Electric Machinery
7735,"SCREEN HOLDINGS CO., LTD.",Electric Machinery
7751,CANON INC.,Electric Machinery
7752,"RICOH CO., LTD.",Electric Machinery
8035,TOKYO ELECTRON LTD.,Electric Machinery
7201,"NISSAN MOTOR CO., LTD.",Automobiles & Auto parts
7202,ISUZU MOTORS LTD.,Automobiles & Auto parts
7203,TOYOTA MOTOR CORP.,Automobiles & Auto parts
7205,"HINO MOTORS, LTD.",Automobiles & Auto parts
7211,MITSUBISHI MOTORS CORP.,Automobiles & Auto parts
7261,MAZDA MOTOR CORP.,Automobiles & Auto parts
7267,"HONDA MOTOR CO., LTD.",Automobiles & Auto parts
7269,SUZUKI MOTOR CORP.,Automobiles & Auto parts
7270,SUBARU CORP.,Automobiles & Auto parts
7272,"YAMAHA MOTOR CO., LTD.",Automobiles & Auto parts
4543,TERUMO CORP.,Precision Instruments
4902,"KONICA MINOLTA, INC.",Precision Instruments
6146,DISCO CORP.,Precision Instruments
7731,NIKON CORP.,Precision Instruments
7733,OLYMPUS CORP.,Precision Instruments
7741,HOYA CORP.,Precision Instruments
7762,"CITIZEN WATCH CO., LTD.",Precision Instruments
9432,NIPPON TELEGRAPH & TELEPHONE CORP.,Communications
9433,KDDI CORP.,Communications
9434,SOFTBANK CORP.,Communications
9613,NTT DATA GROUP CORP.,Communications
9984,SOFTBANK GROUP CORP.,Communications
5831,"SHIZUOKA FINANCIAL GROUP, INC.",Banking
7186,"CONCORDIA FINANCIAL GROUP, LTD.",Banking
8304,"AOZORA BANK, LTD.",Banking
8306,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",Banking
8308,"RESONA HOLDINGS, INC.",Banking
8309,"SUMITOMO MITSUI TRUST GROUP, INC.",Banking
8316,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",Banking
8331,"THE CHIBA BANK, LTD.",Banking
8354,"FUKUOKA FINANCIAL GROUP, INC.",Banking
8411,"MIZUHO FINANCIAL GROUP, INC.",Banking
8253,"CREDIT SAISON CO., LTD.",Other Financial Services
8591,ORIX CORP.,Other Financial Services
8697,"JAPAN EXCHANGE GROUP, INC.",Other Financial Services
8601,DAIWA SECURITIES GROUP INC.,Securities
8604,"NOMURA HOLDINGS, INC.",Securities
8630,"SOMPO HOLDINGS, INC.",Insurance
8725,"MS&AD INSURANCE GROUP HOLDINGS, INC.",Insurance
8750,"DAI-ICHI LIFE HOLDINGS, INC.",Insurance
8766,"TOKIO MARINE HOLDINGS, INC.",Insurance
8795,"T&D HOLDINGS, INC.",Insurance
1332,NISSUI CORP.,Fishery
2002,NISSHIN SEIFUN GROUP INC.,Foods
2269,"MEIJI HOLDINGS CO., LTD.",Foods
2282,NH FOODS LTD.,Foods
2501,SAPPORO HOLDINGS LTD.,Foods
2502,"ASAHI GROUP HOLDINGS, LTD.",Foods
2503,"KIRIN HOLDINGS CO., LTD.",Foods
2801,KIKKOMAN CORP.,Foods
2802,"AJINOMOTO CO., INC.",Foods
2871,NICHIREI CORP.,Foods
2914,JAPAN TOBACCO INC.,Foods
3086,"J.FRONT RETAILING CO., LTD.",Retail
3092,"ZOZO, INC.",Retail
3099,ISETAN MITSUKOSHI HOLDINGS LTD.,Retail
3382,"SEVEN & I HOLDINGS CO., LTD.",Retail
7453,"RYOHIN KEIKAKU CO., LTD.",Retail
8233,"TAKASHIMAYA CO., LTD.",Retail
8252,"MARUI GROUP CO., LTD.",Retail
8267,"AEON CO., LTD.",Retail
9843,"NITORI HOLDINGS CO., LTD.",Retail
9983,"FAST RETAILING CO., LTD.",Retail
2413,"M3, INC.",Services
2432,"DENA CO., LTD.",Services
3659,"NEXON CO., LTD.",Services
4307,"NOMURA RESEARCH INSTITUTE, LTD.",Services
4324,DENTSU GROUP INC.,Services
4385,"MERCARI, INC.",Services
4661,"ORIENTAL LAND CO., LTD.",Services
4689,LY CORP.,Services
4704,TREND MICRO INC.,Services
4751,"CYBERAGENT, INC.",Services
4755,"RAKUTEN GROUP, INC.",Services
6098,"RECRUIT HOLDINGS CO., LTD.",Services
6178,"JAPAN POST HOLDINGS CO., LTD.",Services
7974,"NINTENDO CO., LTD.",Services
9602,"TOHO CO., LTD",Services
9735,"SECOM CO., LTD.",Services
9766,KONAMI GROUP CORP.,Services
1605,INPEX CORP.,Mining
3401,TEIJIN LTD.,Textiles & Apparel
3402,"TORAY INDUSTRIES, INC.",Textiles & Apparel
3861,OJI HOLDINGS CORP.,Pulp & Paper
3405,"KURARAY CO., LTD.",Chemicals
3407,ASAHI KASEI CORP.,Chemicals
4004,RESONAC HOLDINGS CORP.,Chemicals
4005,"SUMITOMO CHEMICAL CO., LTD.",Chemicals
4021,NISSAN CHEMICAL CORP.,Chemicals
4042,TOSOH CORP.,Chemicals
4043,TOKUYAMA CORP.,Chemicals
4061,"DENKA CO., LTD.",Chemicals
4063,"SHIN-ETSU CHEMICAL CO., LTD.",Chemicals
4183,"MITSUI CHEMICALS, INC.",Chemicals
4188,MITSUBISHI CHEMICAL GROUP CORP.,Chemicals
4208,UBE CORP.,Chemicals
4452,KAO CORP.,Chemicals
4901,FUJIFILM HOLDINGS CORP.,Chemicals
4911,"SHISEIDO CO., LTD.",Chemicals
6988,NITTO DENKO CORP.,Chemicals
5019,"IDEMITSU KOSAN CO., LTD.",Petroleum
5020,"ENEOS HOLDINGS, INC.",Petroleum
5101,"THE YOKOHAMA RUBBER CO., LTD.",Rubber
5108,BRIDGESTONE CORP.,Rubber
5201,AGC INC.,Glass & Ceramics
5214,"NIPPON ELECTRIC GLASS CO., LTD.",Glass & Ceramics
5233,TAIHEIYO CEMENT CORP.,Glass & Ceramics
5301,"TOKAI CARBON CO., LTD.",Glass & Ceramics
5332,TOTO LTD.,Glass & Ceramics
5333,"NGK INSULATORS, LTD.",Glass & Ceramics
5401,NIPPON STEEL CORP.,Steel
5406,"KOBE STEEL, LTD.",Steel
5411,"JFE HOLDINGS, INC.",Steel
3436,SUMCO CORP.,Nonferrous Metals
5706,MITSUI MINING & SMELTING CO.,Nonferrous Metals
5711,MITSUBISHI MATERIALS CORP.,Nonferrous Metals
5713,"SUMITOMO METAL MINING CO., LTD.",Nonferrous Metals
5714,"DOWA HOLDINGS CO., LTD.",Nonferrous Metals
5801,"FURUKAWA ELECTRIC CO., LTD.",Nonferrous Metals
5802,"SUMITOMO ELECTRIC IND., LTD.",Nonferrous Metals
5803,FUJIKURA LTD.,Nonferrous Metals
2768,SOJITZ CORP.,Trading Companies
8001,ITOCHU CORP.,Trading Companies
8002,MARUBENI CORP.,Trading Companies
8015,TOYOTA TSUSHO CORP.,Trading Companies
8031,"MITSUI & CO., LTD.",Trading Companies
8053,SUMITOMO CORP.,Trading Companies
8058,MITSUBISHI CORP.,Trading Companies
1721,COMSYS HOLDINGS CORP.,Construction
1801,TAISEI CORP.,Construction
1802,OBAYASHI CORP.,Construction
1803,SHIMIZU CORP.,Construction
1808,HASEKO CORP.,Construction
1812,KAJIMA CORP.,Construction
1925,"DAIWA HOUSE IND. CO., LTD.",Construction
1928,"SEKISUI HOUSE, LTD.",Construction
1963,JGC HOLDINGS CORP.,Construction
5631,"THE JAPAN STEEL WORKS, LTD.",Machinery
6103,OKUMA CORP.,Machinery
6113,"AMADA CO., LTD.",Machinery
6273,SMC CORP.,Machinery
6301,KOMATSU LTD.,Machinery
6302,"SUMITOMO HEAVY IND., LTD.",Machinery
6305,"HITACHI CONST. MACH. CO., LTD.",Machinery
6326,KUBOTA CORP.,Machinery
6361,EBARA CORP.,Machinery
6367,"DAIKIN INDUSTRIES, LTD.",Machinery
6471,NSK LTD.,Machinery
6472,NTN CORP.,Machinery
6473,JTEKT CORP.,Machinery
7004,KANADEVIA CORP.,Machinery
7011,"MITSUBISHI HEAVY IND., LTD.",Machinery
7013,IHI CORP.,Machinery
7012,"KAWASAKI HEAVY IND., LTD.",Shipbuilding
7832,BANDAI NAMCO HOLDINGS INC.,Other Manufacturing
7911,TOPPAN HOLDINGS INC.,Other Manufacturing
7912,"DAI NIPPON PRINTING CO., LTD.",Other Manufacturing
7951,YAMAHA CORP.,Other Manufacturing
3289,TOKYU FUDOSAN HOLDINGS CORP.,Real Estate
8801,"MITSUI FUDOSAN CO., LTD.",Real Estate
8802,"MITSUBISHI ESTATE CO., LTD.",Real Estate
8804,"TOKYO TATEMONO CO., LTD.",Real Estate
8830,"SUMITOMO REALTY & DEVELOPMENT CO., LTD.",Real Estate
9001,"TOBU RAILWAY CO., LTD.",Railway & Bus
9005,TOKYU CORP.,Railway & Bus
9007,"ODAKYU ELECTRIC RAILWAY CO., LTD.",Railway & Bus
9008,KEIO CORP.,Railway & Bus
9009,"KEISEI ELECTRIC RAILWAY CO., LTD.",Railway & Bus
9020,EAST JAPAN RAILWAY CO.,Railway & Bus
9021,WEST JAPAN RAILWAY CO.,Railway & Bus
9022,"CENTRAL JAPAN RAILWAY CO., LTD.",Railway & Bus
9064,"YAMATO HOLDINGS CO., LTD.",Land Transport
9147,"NIPPON EXPRESS HOLDINGS, INC.",Land Transport
9101,NIPPON YUSEN K.K.,Marine Transport
9104,"MITSUI O.S.K.LINES, LTD.",Marine Transport
9107,"KAWASAKI KISEN KAISHA, LTD.",Marine Transport
9201,"JAPAN AIRLINES CO., LTD.",Air Transport
9202,ANA HOLDINGS INC.,Air Transport
9301,MITSUBISHI LOGISTICS CORP.,Warehousing
9501,"TOKYO ELECTRIC POWER COMPANY HOLDINGS, I",Electric Power
9502,"CHUBU ELECTRIC POWER CO., INC.",Electric Power
9503,"THE KANSAI ELECTRIC POWER CO., INC.",Electric Power
9531,"TOKYO GAS CO., LTD.",Gas
9532,"OSAKA GAS CO., LTD.",Gas
